                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.1705,                   2.02,                 2.3205,                 1.1191,                0.31413,                0.61332,                0.44611,                0.35037,                0.31413,                0.61332,                0.44539,                0.35216,                0.85412,                 1.2183,                 1.8814,                 1.0224,             0.00016608,             0.00016608,             0.00016608
                     64,                 1.2258,                 2.1557,                 2.3268,                 1.1447,                0.28695,                0.61482,                0.44804,                0.35296,                0.28695,                0.61482,                0.44745,                0.35731,                0.86279,                 1.2294,                 1.8855,                 1.0187,             0.00016424,             0.00016424,             0.00016424
                     65,                 1.1774,                 2.0669,                  2.296,                 1.1341,                0.30749,                0.67313,                0.44824,                0.35596,                0.30749,                0.67313,                0.44773,                0.35612,                0.85684,                 1.2321,                 1.8617,                 1.0137,             0.00016241,             0.00016241,             0.00016241
                     66,                 1.1248,                 1.9893,                 2.2573,                 1.1138,                0.30524,                0.69553,                0.46064,                0.36255,                0.30524,                0.69553,                0.46056,                0.36415,                0.85879,                 1.2439,                 1.8232,                 1.0225,             0.00016057,             0.00016057,             0.00016057
                     67,                 1.1887,                 2.1336,                 2.3375,                 1.1994,                0.31136,                0.67745,                0.47048,                0.38077,                0.31136,                0.67745,                0.47014,                0.36999,                0.84113,                 1.2166,                 1.7757,                 1.0394,             0.00015874,             0.00015874,             0.00015874
                     68,                 1.1597,                 2.0166,                 2.2551,                 1.1263,                0.32274,                0.72515,                0.46184,                0.36944,                0.32274,                0.72515,                0.46099,                 0.3615,                0.81721,                 1.1892,                  1.786,                 1.0308,              0.0001569,              0.0001569,              0.0001569
                     69,                 1.1482,                 2.0311,                 2.2773,                 1.1104,                0.32617,                0.70543,                0.45137,                0.36229,                0.32617,                0.70543,                0.45138,                0.35487,                0.80291,                 1.1858,                 1.8049,                  1.019,             0.00015507,             0.00015507,             0.00015507
                     70,                 1.0937,                 2.0002,                 2.2294,                 1.1122,                0.31979,                0.68197,                0.44891,                0.36027,                0.31979,                0.68197,                0.44892,                0.35359,                 0.7956,                 1.1874,                 1.8159,                  1.012,             0.00015323,             0.00015323,             0.00015323
                     71,                 1.1015,                 1.9781,                 2.1643,                 1.0982,                0.31711,                0.69096,                0.45442,                0.36577,                0.31711,                0.69096,                0.45412,                0.36217,                0.78766,                 1.1702,                 1.8135,                 1.0017,              0.0001514,              0.0001514,              0.0001514
                     72,                 1.0784,                 1.9604,                 2.1993,                 1.0981,                0.32333,                0.68717,                0.44844,                0.36123,                0.32333,                0.68717,                0.44798,                0.36122,                0.80677,                 1.1519,                 1.8009,                 1.0051,             0.00014956,             0.00014956,             0.00014956
